# Average Runtimes (10000 Files)

File sizes = 1byte, 10000 files ---------------

test1

98872011 function calls (98869184 primitive calls) in 72.844 seconds

    Ordered by: cumulative time

       ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    566/283    0.002    0.000    0.055    0.000 sre_parse.py:417(_parse_sub)
    566/283    0.009    0.000    0.054    0.000 sre_parse.py:475(_parse)
    10177    0.047    0.000    0.047    0.000 {built-in method nt.urandom}
    10177    0.042    0.000    0.042    0.000 {built-in method Crypto.Cipher._AES.new}
    283    0.001    0.000    0.032    0.000 sre_compile.py:598(_code)
    9967    0.029    0.000    0.029    0.000 {method 'encrypt' of '_AES' objects}
    2966    0.023    0.000    0.025    0.000 sre_parse.py:254(get)
    29901    0.025    0.000    0.025    0.000 {method 'write' of '_io.BufferedWriter' objects}

test4

98951796 function calls (98948969 primitive calls) in 87.125 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    1.117    0.000   46.656    0.005 crypy_py.py:30(find_files)
    2861144    3.272    0.000   45.402    0.000 fnmatch.py:19(fnmatch)
    10177    0.159    0.000   32.509    0.003 crypy_py.py:356(generate_file)
    2861144    3.062    0.000   32.399    0.000 fnmatch.py:64(fnmatchcase)
    2801123    2.998    0.000   27.456    0.000 fnmatch.py:38(_compile_pattern)
    10177    2.072    0.000   23.437    0.002 crypy_py.py:335(encrypt_file)
    2801123    8.385    0.000   20.347    0.000 fnmatch.py:74(translate)
    19935   18.644    0.001   18.644    0.001 {built-in method io.open}
    12565038    6.182    0.000   11.581    0.000 re.py:252(escape)
    5722288    6.114    0.000    9.731    0.000 ntpath.py:44(normcase)
    20355    8.677    0.000    8.677    0.000 {built-in method nt.stat}
    10177    0.034    0.000    7.960    0.001 crypy_py.py:17(delete_file)
    10177    7.926    0.001    7.926    0.001 {built-in method nt.remove}
    10177    0.026    0.000    7.237    0.001 crypy_py.py:327(make_directory)
    10178    0.019    0.000    7.210    0.001 genericpath.py:16(exists)
    2801123    1.002    0.000    3.713    0.000 re.py:232(compile)
    12565038    3.694    0.000    3.694    0.000 {method 'translate' of 'str' objects}
    23927735    3.612    0.000    3.612    0.000 {built-in method builtins.isinstance}
    2801123    2.020    0.000    2.712    0.000 re.py:271(_compile)
    2861144    1.881    0.000    1.881    0.000 {method 'match' of 're.Pattern' objects}
    10177    0.018    0.000    1.504    0.000 genericpath.py:48(getsize)
    5742643    1.099    0.000    1.099    0.000 {method 'replace' of 'str' objects}
    692036    0.396    0.000    1.053    0.000 random.py:256(choice)
    10177    0.384    0.000    0.920    0.000 crypy_py.py:358(<listcomp>)
    5722288    0.845    0.000    0.845    0.000 {method 'lower' of 'str' objects}
    5752823    0.831    0.000    0.831    0.000 {built-in method nt.fspath}
    10177    0.026    0.000    0.745    0.000 crypy_py.py:353(text_generator)
    20354    0.081    0.000    0.729    0.000 {method 'join' of 'str' objects}
    19934    0.658    0.000    0.658    0.000 {method 'read' of '_io.BufferedReader' objects}
    376549    0.131    0.000    0.648    0.000 crypy_py.py:354(<genexpr>)
    692036    0.399    0.000    0.586    0.000 random.py:224(_randbelow)
    3569790/3568942    0.471    0.000    0.471    0.000 {built-in method builtins.len}
    10177    0.026    0.000    0.379    0.000 AES.py:61(new)
    10177    0.040    0.000    0.352    0.000 AES.py:55(__init__)
    10177    0.046    0.000    0.312    0.000 blockalgo.py:136(__init__)
    10177    0.247    0.000    0.247    0.000 {built-in method Crypto.Cipher._AES.new}
    10177    0.051    0.000    0.115    0.000 ntpath.py:75(join)
    714250    0.111    0.000    0.111    0.000 {method 'getrandbits' of '_random.Random' objects}
    692036    0.077    0.000    0.077    0.000 {method 'bit_length' of 'int' objects}
    20355    0.048    0.000    0.061    0.000 ntpath.py:122(splitdrive)
    9967    0.027    0.000    0.056    0.000 blockalgo.py:187(encrypt)
    10177    0.052    0.000    0.052    0.000 {built-in method nt.urandom}
    283    0.001    0.000    0.033    0.000 sre_compile.py:759(compile)
    9967    0.029    0.000    0.029    0.000 {method 'encrypt' of '_AES' objects}
    29901    0.023    0.000    0.023    0.000 {method 'write' of '_io.BufferedWriter' objects}

test5

98951864 function calls (98949037 primitive calls) in 80.728 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    1.004    0.000   47.480    0.005 crypy_py.py:30(find_files)
    2861144    2.879    0.000   46.333    0.000 fnmatch.py:19(fnmatch)
    2861144    3.288    0.000   33.547    0.000 fnmatch.py:64(fnmatchcase)
    2801123    2.797    0.000   28.370    0.000 fnmatch.py:38(_compile_pattern)
    10177    0.147    0.000   27.322    0.003 crypy_py.py:356(generate_file)
    2801123    8.973    0.000   21.412    0.000 fnmatch.py:74(translate)
    10177    2.247    0.000   20.996    0.002 crypy_py.py:335(encrypt_file)
    19935   16.807    0.001   16.807    0.001 {built-in method io.open}
    12565038    6.941    0.000   12.085    0.000 re.py:252(escape)
    5722288    5.497    0.000    9.908    0.000 ntpath.py:44(normcase)
    10177    0.024    0.000    5.927    0.001 crypy_py.py:17(delete_file)
    10177    5.902    0.001    5.902    0.001 {built-in method nt.remove}
    20355    5.789    0.000    5.789    0.000 {built-in method nt.stat}
    10177    0.021    0.000    4.669    0.000 crypy_py.py:327(make_directory)
    10178    0.020    0.000    4.648    0.000 genericpath.py:16(exists)
    2801123    1.012    0.000    3.790    0.000 re.py:232(compile)
    23927735    3.651    0.000    3.651    0.000 {built-in method builtins.isinstance}
    12565038    3.646    0.000    3.646    0.000 {method 'translate' of 'str' objects}
    2801123    1.844    0.000    2.778    0.000 re.py:271(_compile)
    2861144    1.890    0.000    1.890    0.000 {method 'match' of 're.Pattern' objects}
    5742643    1.350    0.000    1.350    0.000 {method 'replace' of 'str' objects}
    5722288    1.247    0.000    1.247    0.000 {method 'lower' of 'str' objects}
    10177    0.017    0.000    1.178    0.000 genericpath.py:48(getsize)
    692036    0.378    0.000    1.100    0.000 random.py:256(choice)
    5752823    0.947    0.000    0.947    0.000 {built-in method nt.fspath}
    10177    0.026    0.000    0.757    0.000 crypy_py.py:353(text_generator)
    10177    0.168    0.000    0.743    0.000 crypy_py.py:358(<listcomp>)
    20354    0.087    0.000    0.740    0.000 {method 'join' of 'str' objects}
    692036    0.434    0.000    0.653    0.000 random.py:224(_randbelow)
    376549    0.128    0.000    0.652    0.000 crypy_py.py:354(<genexpr>)
    3569790/3568942    0.438    0.000    0.438    0.000 {built-in method builtins.len}
    19934    0.432    0.000    0.432    0.000 {method 'read' of '_io.BufferedReader' objects}
    10177    0.024    0.000    0.157    0.000 AES.py:61(new)
    714318    0.134    0.000    0.134    0.000 {method 'getrandbits' of '_random.Random' objects}
    10177    0.027    0.000    0.133    0.000 AES.py:55(__init__)
    10177    0.048    0.000    0.111    0.000 ntpath.py:75(join)
    10177    0.042    0.000    0.107    0.000 blockalgo.py:136(__init__)
    692036    0.085    0.000    0.085    0.000 {method 'bit_length' of 'int' objects}
    20355    0.048    0.000    0.061    0.000 ntpath.py:122(splitdrive)
    9967    0.025    0.000    0.054    0.000 blockalgo.py:187(encrypt)
    10177    0.048    0.000    0.048    0.000 {built-in method nt.urandom}
    10177    0.042    0.000    0.042    0.000 {built-in method Crypto.Cipher._AES.new}
    283    0.001    0.000    0.031    0.000 sre_compile.py:759(compile)
    2    0.006    0.003    0.031    0.016 os.py:278(walk)
    9967    0.029    0.000    0.029    0.000 {method 'encrypt' of '_AES' objects}
    29901    0.025    0.000    0.025    0.000 {method 'write' of '_io.BufferedWriter' objects}


File sizes = 100bytes, 10000 files ---------------

test1

98951788 function calls (98948961 primitive calls) in 85.385 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    1.441    0.000   46.693    0.005 crypy_py.py:30(find_files)
    2861144    3.236    0.000   45.015    0.000 fnmatch.py:19(fnmatch)
    2861144    3.776    0.000   33.141    0.000 fnmatch.py:64(fnmatchcase)
    10177    0.163    0.000   31.031    0.003 crypy_py.py:356(generate_file)
    2801123    2.882    0.000   27.664    0.000 fnmatch.py:38(_compile_pattern)
    10177    2.721    0.000   21.816    0.002 crypy_py.py:335(encrypt_file)
    2801123    8.760    0.000   20.370    0.000 fnmatch.py:74(translate)
    19935   17.283    0.001   17.283    0.001 {built-in method io.open}
    12565038    6.157    0.000   11.273    0.000 re.py:252(escape)
    5722288    5.066    0.000    8.638    0.000 ntpath.py:44(normcase)
    20355    8.391    0.000    8.391    0.000 {built-in method nt.stat}
    10177    0.030    0.000    7.661    0.001 crypy_py.py:17(delete_file)
    10177    7.631    0.001    7.631    0.001 {built-in method nt.remove}
    10177    0.022    0.000    7.420    0.001 crypy_py.py:327(make_directory)
    10178    0.017    0.000    7.397    0.001 genericpath.py:16(exists)
    2801123    1.148    0.000    4.059    0.000 re.py:232(compile)
    12565038    3.752    0.000    3.752    0.000 {method 'translate' of 'str' objects}
    23927735    3.194    0.000    3.194    0.000 {built-in method builtins.isinstance}
    2801123    2.215    0.000    2.911    0.000 re.py:271(_compile)
    2861144    1.701    0.000    1.701    0.000 {method 'match' of 're.Pattern' objects}
    5742643    1.060    0.000    1.060    0.000 {method 'replace' of 'str' objects}
    10177    0.020    0.000    1.031    0.000 genericpath.py:48(getsize)
    692036    0.380    0.000    1.004    0.000 random.py:256(choice)
    10177    0.024    0.000    0.936    0.000 crypy_py.py:353(text_generator)
    20354    0.320    0.000    0.921    0.000 {method 'join' of 'str' objects}
    5752823    0.880    0.000    0.880    0.000 {built-in method nt.fspath}
    5722288    0.797    0.000    0.797    0.000 {method 'lower' of 'str' objects}
    10177    0.166    0.000    0.686    0.000 crypy_py.py:358(<listcomp>)
    376549    0.118    0.000    0.601    0.000 crypy_py.py:354(<genexpr>)
    692036    0.378    0.000    0.560    0.000 random.py:224(_randbelow)
    19934    0.419    0.000    0.419    0.000 {method 'read' of '_io.BufferedReader' objects}
    3569790/3568942    0.417    0.000    0.418    0.000 {built-in method builtins.len}
    10177    0.022    0.000    0.183    0.000 AES.py:61(new)
    10177    0.114    0.000    0.174    0.000 ntpath.py:75(join)
    10177    0.032    0.000    0.161    0.000 AES.py:55(__init__)
    10177    0.050    0.000    0.129    0.000 blockalgo.py:136(__init__)
    714242    0.109    0.000    0.109    0.000 {method 'getrandbits' of '_random.Random' objects}
    692036    0.073    0.000    0.073    0.000 {method 'bit_length' of 'int' objects}
    283    0.004    0.000    0.069    0.000 sre_compile.py:759(compile)
    2    0.008    0.004    0.061    0.031 os.py:278(walk)
    10177    0.061    0.000    0.061    0.000 {built-in method Crypto.Cipher._AES.new}
    20355    0.046    0.000    0.057    0.000 ntpath.py:122(splitdrive)
    9967    0.024    0.000    0.057    0.000 blockalgo.py:187(encrypt)
    10005    0.050    0.000    0.050    0.000 {built-in method builtins.next}
    10177    0.048    0.000    0.048    0.000 {built-in method nt.urandom}
    283    0.001    0.000    0.044    0.000 sre_parse.py:919(parse)
    566/283    0.006    0.000    0.042    0.000 sre_parse.py:417(_parse_sub)
    566/283    0.018    0.000    0.040    0.000 sre_parse.py:475(_parse)
    9967    0.032    0.000    0.032    0.000 {method 'encrypt' of '_AES' objects}
    9967    0.026    0.000    0.026    0.000 {built-in method _struct.pack}
    29901    0.025    0.000    0.025    0.000 {method 'write' of '_io.BufferedWriter' objects}

test2

98951886 function calls (98949059 primitive calls) in 94.653 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    2.007    0.000   51.529    0.005 crypy_py.py:30(find_files)
    2861144    3.650    0.000   49.273    0.000 fnmatch.py:19(fnmatch)
    2861144    3.236    0.000   35.017    0.000 fnmatch.py:64(fnmatchcase)
    10177    0.166    0.000   34.470    0.003 crypy_py.py:356(generate_file)
    2801123    3.902    0.000   29.901    0.000 fnmatch.py:38(_compile_pattern)
    10177    2.401    0.000   24.626    0.002 crypy_py.py:335(encrypt_file)
    2801123    8.298    0.000   21.360    0.000 fnmatch.py:74(translate)
    19935   19.239    0.001   19.239    0.001 {built-in method io.open}
    12565038    6.507    0.000   12.696    0.000 re.py:252(escape)
    5722288    6.112    0.000   10.606    0.000 ntpath.py:44(normcase)
    20355    9.204    0.000    9.204    0.000 {built-in method nt.stat}
    10177    0.202    0.000    8.654    0.001 crypy_py.py:17(delete_file)
    10177    8.452    0.001    8.452    0.001 {built-in method nt.remove}
    10177    0.023    0.000    7.866    0.001 crypy_py.py:327(make_directory)
    10178    0.018    0.000    7.842    0.001 genericpath.py:16(exists)
    23927735    4.316    0.000    4.316    0.000 {built-in method builtins.isinstance}
    2801123    1.337    0.000    4.235    0.000 re.py:232(compile)
    12565038    3.856    0.000    3.856    0.000 {method 'translate' of 'str' objects}
    2801123    2.186    0.000    2.897    0.000 re.py:271(_compile)
    2861144    1.880    0.000    1.880    0.000 {method 'match' of 're.Pattern' objects}
    5742643    1.478    0.000    1.478    0.000 {method 'replace' of 'str' objects}
    10177    0.021    0.000    1.401    0.000 genericpath.py:48(getsize)
    692036    0.600    0.000    1.377    0.000 random.py:256(choice)
    5722288    1.170    0.000    1.170    0.000 {method 'lower' of 'str' objects}
    5752823    0.967    0.000    0.967    0.000 {built-in method nt.fspath}
    10177    0.175    0.000    0.940    0.000 crypy_py.py:358(<listcomp>)
    10177    0.028    0.000    0.860    0.000 crypy_py.py:353(text_generator)
    20354    0.087    0.000    0.845    0.000 {method 'join' of 'str' objects}
    376549    0.145    0.000    0.758    0.000 crypy_py.py:354(<genexpr>)
    19934    0.754    0.000    0.754    0.000 {method 'read' of '_io.BufferedReader' objects}
    692036    0.468    0.000    0.691    0.000 random.py:224(_randbelow)
    3569790/3568942    0.471    0.000    0.471    0.000 {built-in method builtins.len}
    10177    0.320    0.000    0.464    0.000 AES.py:61(new)
    9967    0.024    0.000    0.246    0.000 blockalgo.py:187(encrypt)
    9967    0.222    0.000    0.222    0.000 {method 'encrypt' of '_AES' objects}
    10177    0.046    0.000    0.208    0.000 ntpath.py:75(join)
    20355    0.147    0.000    0.160    0.000 ntpath.py:122(splitdrive)
    10177    0.028    0.000    0.144    0.000 AES.py:55(__init__)
    714340    0.138    0.000    0.138    0.000 {method 'getrandbits' of '_random.Random' objects}
    10177    0.057    0.000    0.116    0.000 blockalgo.py:136(__init__)
    692036    0.085    0.000    0.085    0.000 {method 'bit_length' of 'int' objects}
    10177    0.046    0.000    0.046    0.000 {built-in method nt.urandom}
    2    0.013    0.006    0.039    0.020 os.py:278(walk)
    10177    0.038    0.000    0.038    0.000 {built-in method Crypto.Cipher._AES.new}
    29901    0.029    0.000    0.029    0.000 {method 'write' of '_io.BufferedWriter' objects}

test3

98951850 function calls (98949023 primitive calls) in 89.317 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    1.319    0.000   48.678    0.005 crypy_py.py:30(find_files)
    2861144    3.813    0.000   47.168    0.000 fnmatch.py:19(fnmatch)
    2861144    2.818    0.000   32.860    0.000 fnmatch.py:64(fnmatchcase)
    10177    0.153    0.000   31.796    0.003 crypy_py.py:356(generate_file)
    2801123    2.612    0.000   28.112    0.000 fnmatch.py:38(_compile_pattern)
    10177    1.979    0.000   21.893    0.002 crypy_py.py:335(encrypt_file)
    2801123    8.556    0.000   20.827    0.000 fnmatch.py:74(translate)
    19935   17.564    0.001   17.564    0.001 {built-in method io.open}
    12565038    6.379    0.000   11.910    0.000 re.py:252(escape)
    5722288    6.340    0.000   10.495    0.000 ntpath.py:44(normcase)
    20355    8.929    0.000    8.929    0.000 {built-in method nt.stat}
    10177    0.026    0.000    8.843    0.001 crypy_py.py:17(delete_file)
    10177    8.817    0.001    8.817    0.001 {built-in method nt.remove}
    10177    0.021    0.000    7.566    0.001 crypy_py.py:327(make_directory)
    10178    0.018    0.000    7.544    0.001 genericpath.py:16(exists)
    2801123    1.229    0.000    4.287    0.000 re.py:232(compile)
    23927735    3.958    0.000    3.958    0.000 {built-in method builtins.isinstance}
    12565038    3.754    0.000    3.754    0.000 {method 'translate' of 'str' objects}
    2801123    2.062    0.000    3.058    0.000 re.py:271(_compile)
    2861144    1.929    0.000    1.929    0.000 {method 'match' of 're.Pattern' objects}
    10177    0.019    0.000    1.421    0.000 genericpath.py:48(getsize)
    5742643    1.308    0.000    1.308    0.000 {method 'replace' of 'str' objects}
    10177    0.078    0.000    1.294    0.000 crypy_py.py:353(text_generator)
    692036    0.458    0.000    1.261    0.000 random.py:256(choice)
    20354    0.348    0.000    1.225    0.000 {method 'join' of 'str' objects}
    5722288    1.073    0.000    1.073    0.000 {method 'lower' of 'str' objects}
    5752823    0.962    0.000    0.962    0.000 {built-in method nt.fspath}
    10177    0.176    0.000    0.880    0.000 crypy_py.py:358(<listcomp>)
    376549    0.322    0.000    0.878    0.000 crypy_py.py:354(<genexpr>)
    692036    0.434    0.000    0.728    0.000 random.py:224(_randbelow)
    19934    0.536    0.000    0.536    0.000 {method 'read' of '_io.BufferedReader' objects}
    3569790/3568942    0.449    0.000    0.449    0.000 {built-in method builtins.len}
    10177    0.087    0.000    0.223    0.000 AES.py:61(new)
    714304    0.207    0.000    0.207    0.000 {method 'getrandbits' of '_random.Random' objects}
    10177    0.051    0.000    0.166    0.000 ntpath.py:75(join)
    10177    0.029    0.000    0.135    0.000 AES.py:55(__init__)
    20355    0.101    0.000    0.113    0.000 ntpath.py:122(splitdrive)
    10177    0.043    0.000    0.106    0.000 blockalgo.py:136(__init__)
    692036    0.087    0.000    0.087    0.000 {method 'bit_length' of 'int' objects}
    9967    0.027    0.000    0.059    0.000 blockalgo.py:187(encrypt)
    10177    0.044    0.000    0.044    0.000 {built-in method nt.urandom}
    10177    0.043    0.000    0.043    0.000 {built-in method Crypto.Cipher._AES.new}
    9967    0.032    0.000    0.032    0.000 {method 'encrypt' of '_AES' objects}
    283    0.001    0.000    0.025    0.000 sre_compile.py:759(compile)
    29901    0.024    0.000    0.024    0.000 {method 'write' of '_io.BufferedWriter' objects}

test4

98951815 function calls (98948988 primitive calls) in 88.211 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    1.057    0.000   49.120    0.005 crypy_py.py:30(find_files)
    2861144    3.040    0.000   47.827    0.000 fnmatch.py:19(fnmatch)
    2861144    3.524    0.000   34.663    0.000 fnmatch.py:64(fnmatchcase)
    10177    0.156    0.000   31.028    0.003 crypy_py.py:356(generate_file)
    2801123    2.887    0.000   28.771    0.000 fnmatch.py:38(_compile_pattern)
    10177    2.339    0.000   21.736    0.002 crypy_py.py:335(encrypt_file)
    2801123    8.826    0.000   20.887    0.000 fnmatch.py:74(translate)
    19935   17.486    0.001   17.486    0.001 {built-in method io.open}
    12565038    6.412    0.000   11.703    0.000 re.py:252(escape)
    5722288    5.736    0.000   10.124    0.000 ntpath.py:44(normcase)
    10177    0.025    0.000    8.062    0.001 crypy_py.py:17(delete_file)
    10177    8.038    0.001    8.038    0.001 {built-in method nt.remove}
    20355    8.036    0.000    8.036    0.000 {built-in method nt.stat}
    10177    0.220    0.000    7.138    0.001 crypy_py.py:327(make_directory)
    10178    0.020    0.000    6.917    0.001 genericpath.py:16(exists)
    2801123    1.422    0.000    4.539    0.000 re.py:232(compile)
    12565038    3.883    0.000    3.883    0.000 {method 'translate' of 'str' objects}
    23927735    3.613    0.000    3.613    0.000 {built-in method builtins.isinstance}
    2801123    2.411    0.000    3.117    0.000 re.py:271(_compile)
    2861144    2.368    0.000    2.368    0.000 {method 'match' of 're.Pattern' objects}
    692036    0.616    0.000    1.425    0.000 random.py:256(choice)
    5752823    1.191    0.000    1.191    0.000 {built-in method nt.fspath}
    5742643    1.168    0.000    1.168    0.000 {method 'replace' of 'str' objects}
    10177    0.020    0.000    1.160    0.000 genericpath.py:48(getsize)
    10177    0.252    0.000    1.149    0.000 crypy_py.py:358(<listcomp>)
    5722288    0.964    0.000    0.964    0.000 {method 'lower' of 'str' objects}
    20354    0.163    0.000    0.824    0.000 {method 'join' of 'str' objects}
    10177    0.026    0.000    0.766    0.000 crypy_py.py:353(text_generator)
    692036    0.427    0.000    0.734    0.000 random.py:224(_randbelow)
    376549    0.134    0.000    0.662    0.000 crypy_py.py:354(<genexpr>)
    3569790/3568942    0.446    0.000    0.446    0.000 {built-in method builtins.len}
    19934    0.413    0.000    0.413    0.000 {method 'read' of '_io.BufferedReader' objects}
    10177    0.148    0.000    0.212    0.000 ntpath.py:75(join)
    692036    0.190    0.000    0.190    0.000 {method 'bit_length' of 'int' objects}
    10177    0.034    0.000    0.168    0.000 AES.py:61(new)
    10177    0.027    0.000    0.134    0.000 AES.py:55(__init__)
    714269    0.118    0.000    0.118    0.000 {method 'getrandbits' of '_random.Random' objects}
    10177    0.045    0.000    0.107    0.000 blockalgo.py:136(__init__)
    20355    0.049    0.000    0.061    0.000 ntpath.py:122(splitdrive)
    9967    0.026    0.000    0.056    0.000 blockalgo.py:187(encrypt)
    10177    0.045    0.000    0.045    0.000 {built-in method nt.urandom}
    10177    0.041    0.000    0.041    0.000 {built-in method Crypto.Cipher._AES.new}
    283    0.002    0.000    0.034    0.000 sre_compile.py:759(compile)
    9967    0.030    0.000    0.030    0.000 {method 'encrypt' of '_AES' objects}
    29901    0.024    0.000    0.024    0.000 {method 'write' of '_io.BufferedWriter' objects}

test5

98951566 function calls (98948739 primitive calls) in 90.798 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    1.137    0.000   49.355    0.005 crypy_py.py:30(find_files)
    2861144    3.085    0.000   48.073    0.000 fnmatch.py:19(fnmatch)
    2861144    3.196    0.000   34.328    0.000 fnmatch.py:64(fnmatchcase)
    10177    0.151    0.000   32.254    0.003 crypy_py.py:356(generate_file)
    2801123    3.163    0.000   29.204    0.000 fnmatch.py:38(_compile_pattern)
    10177    2.053    0.000   22.422    0.002 crypy_py.py:335(encrypt_file)
    2801123    8.409    0.000   21.242    0.000 fnmatch.py:74(translate)
    19935   18.541    0.001   18.541    0.001 {built-in method io.open}
    12565038    7.284    0.000   12.444    0.000 re.py:252(escape)
    5722288    6.533    0.000   10.660    0.000 ntpath.py:44(normcase)
    10177    0.066    0.000    9.188    0.001 crypy_py.py:17(delete_file)
    10177    9.122    0.001    9.122    0.001 {built-in method nt.remove}
    20355    8.634    0.000    8.634    0.000 {built-in method nt.stat}
    10177    0.020    0.000    7.688    0.001 crypy_py.py:327(make_directory)
    10178    0.016    0.000    7.666    0.001 genericpath.py:16(exists)
    2801123    1.565    0.000    4.385    0.000 re.py:232(compile)
    23927735    3.731    0.000    3.731    0.000 {built-in method builtins.isinstance}
    12565038    3.627    0.000    3.627    0.000 {method 'translate' of 'str' objects}
    2801123    1.877    0.000    2.820    0.000 re.py:271(_compile)
    2861144    1.928    0.000    1.928    0.000 {method 'match' of 're.Pattern' objects}
    692036    0.469    0.000    1.496    0.000 random.py:256(choice)
    5742643    1.306    0.000    1.306    0.000 {method 'replace' of 'str' objects}
    10177    0.178    0.000    1.065    0.000 crypy_py.py:358(<listcomp>)
    5722288    1.030    0.000    1.030    0.000 {method 'lower' of 'str' objects}
    10177    0.020    0.000    1.004    0.000 genericpath.py:48(getsize)
    5752823    0.928    0.000    0.928    0.000 {built-in method nt.fspath}
    10177    0.029    0.000    0.919    0.000 crypy_py.py:353(text_generator)
    20354    0.090    0.000    0.900    0.000 {method 'join' of 'str' objects}
    376549    0.201    0.000    0.810    0.000 crypy_py.py:354(<genexpr>)
    692036    0.457    0.000    0.797    0.000 random.py:224(_randbelow)
    3569790/3568942    0.633    0.000    0.633    0.000 {built-in method builtins.len}
    19934    0.407    0.000    0.407    0.000 {method 'read' of '_io.BufferedReader' objects}
    714020    0.251    0.000    0.251    0.000 {method 'getrandbits' of '_random.Random' objects}
    10177    0.024    0.000    0.155    0.000 AES.py:61(new)
    9967    0.027    0.000    0.139    0.000 blockalgo.py:187(encrypt)
    10177    0.025    0.000    0.131    0.000 AES.py:55(__init__)
    9967    0.112    0.000    0.112    0.000 {method 'encrypt' of '_AES' objects}
    10177    0.045    0.000    0.108    0.000 ntpath.py:75(join)
    10177    0.042    0.000    0.106    0.000 blockalgo.py:136(__init__)
    692036    0.088    0.000    0.088    0.000 {method 'bit_length' of 'int' objects}
    20355    0.048    0.000    0.061    0.000 ntpath.py:122(splitdrive)
    10177    0.053    0.000    0.053    0.000 {built-in method nt.urandom}
    10177    0.037    0.000    0.037    0.000 {built-in method Crypto.Cipher._AES.new}
    2    0.005    0.002    0.036    0.018 os.py:278(walk)
    283    0.002    0.000    0.034    0.000 sre_compile.py:759(compile)
    10005    0.029    0.000    0.029    0.000 {built-in method builtins.next}
    10177    0.021    0.000    0.027    0.000 blockalgo.py:124(_getParameter)
    29901    0.025    0.000    0.025    0.000 {method 'write' of '_io.BufferedWriter' objects}


File sizes = 1000bytes, 10000 files ---------------

test1

98951967 function calls (98949140 primitive calls) in 99.668 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    1.141    0.000   51.737    0.005 crypy_py.py:30(find_files)
    2861144    3.325    0.000   50.438    0.000 fnmatch.py:19(fnmatch)
    10177    0.185    0.000   37.484    0.004 crypy_py.py:356(generate_file)
    2861144    3.337    0.000   36.617    0.000 fnmatch.py:64(fnmatchcase)
    2801123    2.782    0.000   30.983    0.000 fnmatch.py:38(_compile_pattern)
    10177    2.941    0.000   26.955    0.003 crypy_py.py:335(encrypt_file)
    2801123    9.844    0.000   23.782    0.000 fnmatch.py:74(translate)
    19935   21.503    0.001   21.503    0.001 {built-in method io.open}
    12565038    7.899    0.000   13.569    0.000 re.py:252(escape)
    5722288    6.443    0.000   10.496    0.000 ntpath.py:44(normcase)
    10177    0.033    0.000   10.447    0.001 crypy_py.py:17(delete_file)
    10177   10.413    0.001   10.413    0.001 {built-in method nt.remove}
    20355   10.002    0.000   10.002    0.000 {built-in method nt.stat}
    10177    0.023    0.000    8.736    0.001 crypy_py.py:327(make_directory)
    10178    0.020    0.000    8.711    0.001 genericpath.py:16(exists)
    12565038    3.979    0.000    3.979    0.000 {method 'translate' of 'str' objects}
    2801123    1.174    0.000    3.926    0.000 re.py:232(compile)
    23927735    3.807    0.000    3.807    0.000 {built-in method builtins.isinstance}
    2801123    1.982    0.000    2.752    0.000 re.py:271(_compile)
    2861144    2.297    0.000    2.297    0.000 {method 'match' of 're.Pattern' objects}
    10177    0.023    0.000    1.334    0.000 genericpath.py:48(getsize)
    5742643    1.273    0.000    1.273    0.000 {method 'replace' of 'str' objects}
    692036    0.418    0.000    1.166    0.000 random.py:256(choice)
    5752823    0.998    0.000    0.998    0.000 {built-in method nt.fspath}
    5722288    0.916    0.000    0.916    0.000 {method 'lower' of 'str' objects}
    10177    0.028    0.000    0.815    0.000 crypy_py.py:353(text_generator)
    20354    0.089    0.000    0.797    0.000 {method 'join' of 'str' objects}
    10177    0.186    0.000    0.783    0.000 crypy_py.py:358(<listcomp>)
    19934    0.747    0.000    0.747    0.000 {method 'read' of '_io.BufferedReader' objects}
    376549    0.139    0.000    0.708    0.000 crypy_py.py:354(<genexpr>)
    692036    0.450    0.000    0.664    0.000 random.py:224(_randbelow)
    3569790/3568942    0.469    0.000    0.469    0.000 {built-in method builtins.len}
    10177    0.028    0.000    0.186    0.000 AES.py:61(new)
    10177    0.024    0.000    0.158    0.000 AES.py:55(__init__)
    10177    0.058    0.000    0.134    0.000 blockalgo.py:136(__init__)
    10177    0.060    0.000    0.132    0.000 ntpath.py:75(join)
    714421    0.123    0.000    0.123    0.000 {method 'getrandbits' of '_random.Random' objects}
    9967    0.028    0.000    0.111    0.000 blockalgo.py:187(encrypt)
